,Location,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Year_text,Volume (millions of liters),
38,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,1041.447991,5
39,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,1225.809768,5
40,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,1272.608979,5
41,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,1275.200171,5
42,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,1245.600776,5
43,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,1281.698565,5
44,3,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,1314.849126,5
45,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,2851.480547,5
46,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,3012.87936,5
47,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,3204.334693,5
48,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,3432.131323,5
49,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,3708.793219,5
50,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,3690.16943,5
51,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,3747.622542,5
52,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,3705.497658,5
53,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,3647.64655,5
54,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,3712.059189,5
55,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,3730.12338,5
56,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,3811.532919,5
57,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,3827.867144,5
58,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,3477.529934,5
59,4,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,3490.710758,5
60,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,4468.82707,5
61,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,4628.663923,5
62,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,4895.915203,5
63,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,5110.190402,5
64,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,5235.445565,5
65,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,5480.1969,5
66,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,5627.01155,5
67,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,5505.369141,5
68,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,5646.076843,5
69,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,5800.711599,5
70,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,5894.056014,5
71,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,6024.256409,5
72,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,6183.858351,5
73,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,6332.976954,5
74,5,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,6467.912797,5
75,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,5903.72651,5
76,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,5939.87774,5
77,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,5898.444737,5
78,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,5979.117958,5
79,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,6067.530078,5
80,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,6275.056723,5
81,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,6244.57015,5
82,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,6221.842438,5
83,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,5966.369128,5
84,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,5739.119655,5
85,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,5948.624348,5
86,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,5893.162836,5
87,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,5968.146404,5
88,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,5947.176102,5
89,6,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,6014.875688,5
90,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,2920.166254,5
91,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,2760.164216,5
92,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,2753.55318,5
93,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,2759.889528,5
94,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,2629.618668,5
95,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,2684.18017,5
96,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,2680.082234,5
97,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,2591.159867,5
98,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,2582.964503,5
99,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,2589.796559,5
100,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,2531.792714,5
101,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,2507.281391,5
102,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,2428.319985,5
103,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,2422.409227,5
104,7,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,2415.957177,5
105,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.001490922408,5
106,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.001372390266,5
107,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.001315863411,5
108,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.00126964939,5
109,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.001252933261,5
110,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.001239903723,5
111,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.001243979009,5
112,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.001225845521,5
113,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.001225371781,5
114,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.0012025787670000001,5
115,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.0013331413439999999,5
116,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.0013983809110000001,5
117,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.001473054979,5
118,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.001655613159,5
119,1,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.0017993314579999998,5
120,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.01396896815,5
121,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.014095115549999999,5
122,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.0148670674,5
123,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.01575953766,5
124,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.01852082419,5
125,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.022324273600000003,5
126,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.028228741419999998,5
127,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.03611766111,5
128,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.04625140641,5
129,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.06076991041,5
130,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.06900662167,5
131,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.07941235689,5
132,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.08576700022999999,5
133,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.09390873386,5
134,2,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.1012606903,5
135,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.00011516816200000001,5
136,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.000216561325,5
137,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.000332112551,5
138,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.000336176145,5
139,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.00038319170000000003,5
140,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.000322094113,5
141,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.00031786322,5
142,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.00034613708,5
143,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.000510234851,5
144,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.000645851022,5
145,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.00093007877,5
146,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.001868641204,5
147,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.002914503195,5
148,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.003514904806,5
149,3,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.004081940425,5
150,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.03312375796,5
151,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.0349637253,5
152,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.0357151316,5
153,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.03679222469,5
154,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.03644605986,5
155,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.036694034199999996,5
156,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.03454225236,5
157,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.03621499518,5
158,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.03803450379,5
159,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.039649404220000004,5
160,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.03681560827,5
161,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.03727668779,5
162,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.037087546369999995,5
163,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.03500135821,5
164,4,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.03673501963,5
165,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.07989424996,5
166,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.08474106112,5
167,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.09401410103,5
168,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.1116539241,5
169,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.12640123250000002,5
170,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.1411456047,5
171,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.15382582690000002,5
172,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.163319167,5
173,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.1761681456,5
174,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.1944408819,5
175,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.220143954,5
176,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.2229694804,5
177,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.23712112759999998,5
178,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.2367708221,5
179,5,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.248488184,5
180,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.018625255889999998,5
181,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.01670411654,5
182,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.01724171963,5
183,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.01798292007,5
184,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.01901671244,5
185,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.02332403844,5
186,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.0254361587,5
187,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.025681046550000003,5
188,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.02773169062,5
189,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.0330582045,5
190,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.048138337169999997,5
191,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.07257048446,5
192,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.08223752482,5
193,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.08120460599,5
194,6,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.08861202908999999,5
195,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.07120323986,5
196,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.06761532172,5
197,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.07080931102,5
198,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.0803034973,5
199,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.08423641852,5
200,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.09063382355,5
201,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.1006699891,5
202,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.1032953359,5
203,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.10086535469999999,5
204,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.09951709802,5
205,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.10145775,5
206,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.09942003792,5
207,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.09511454702000001,5
208,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.09519256991,5
209,7,Cider/Perry,Cider/Perry,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.09477403893,5
210,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.08024486513,5
211,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.08329677677,5
212,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.08474047021,5
213,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.08274837861,5
214,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.07795608971,5
215,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.07673253567999999,5
216,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.0792197766,5
217,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.08181161493,5
218,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.08317301718,5
219,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.08596420936,5
220,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.09190881081,5
221,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.09838027011,5
222,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.1045180515,5
223,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.113407173,5
224,1,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.1208399538,5
225,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.24485195189999998,5
226,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.2778670666,5
227,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2009,0.3084264083,5
228,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2010,0.33713058949999997,5
229,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2011,0.3700673063,5
230,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2012,0.3198437033,5
231,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2013,0.28388569560000004,5
232,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2014,0.27866185940000004,5
233,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2015,0.2775848359,5
234,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2016,0.2760953961,5
235,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2017,0.2629939901,5
236,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2018,0.24953657939999999,5
237,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2019,0.24012429130000001,5
238,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2020,0.2336962809,5
239,2,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2021,0.2278148361,5
240,3,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2007,0.020737670399999998,5
241,3,RTDs/High-Strength Premixes,RTDs/High-Strength Premixes,1,Off-trade Volume,Food/drink/tobacco specialists,3,2008,0.02457296779,5
